Answer Fragment, ID, Frequency
recognise_should,0,249
am_proud,1,295
be_therefore,2,218
be_must,3,1627
accept_do,4,1241
accept_not,5,1378
agree_with,6,8955
agree_do,7,1094
agree_not,8,1179
be_right,9,307
is_fair,10,291
committed_have,11,220
am_delighted,12,1675
am_know,13,205
be_happy,14,1541
am_aware,15,3575
is_clearly,16,633
lead_to,17,250
believe_be,18,727
believe_is,19,2116
published_be,20,248
be_will,21,12122
be_able,22,1174
join_in,23,269
are_committed,24,760
know_also,25,419
know_will,26,3755
agree_absolutely,27,351
have_will,28,2672
of>course,29,5102
is_right,30,16219
is_course,31,915
are_concerned,32,532
is_make,33,1091
is_know,34,686
is_believe,35,309
involved_are,36,246
have_make,37,299
be_may,38,1462
received_from,39,229
trying_are,40,804
as>far,41,425
think_do,42,2595
think_not,43,2565
look_will,44,1463
look_at,45,1904
am_happy,46,3428
increased_have,47,733
increased_by,48,510
is_vital,49,667
believe_do,50,1372
believe_not,51,1360
listened_to,52,258
am_sure,53,8513
tell_can,54,1335
one>of,55,243
one_of,56,265
ensure>that,57,258
set_up,58,571
is_draw,59,741
is_difficult,60,766
recognise_do,61,246
recognise_not,62,206
committed_are,63,386
committed_to,64,658
need_ensure,65,425
made_in,66,859
taking_are,67,935
do_will,68,1234
is_said,69,1412
seen_not,70,205
seen_have,71,1481
heard_have,72,740
enable_will,73,266
published_will,74,226
know_be,75,275
have_however,76,444
think_is,77,2893
have_say,78,541
is_worth,79,913
have_also,80,437
is_available,81,331
continue_will,82,2268
take_of,83,354
spending_are,84,285
take_in,85,246
in>particular,86,327
take_into,87,498
considered_be,88,451
give_can,89,1796
spent_on,90,304
is_clear,91,1485
am_grateful,92,5975
reduced_have,93,227
is_true,94,1583
am_glad,95,2027
congratulate_on,96,334
made_on,97,367
made_is,98,584
remain_will,99,303
am_afraid,100,1189
is_due,101,251
is_indeed,102,772
are_however,103,582
are_said,104,374
know_of,105,554
set_in,106,470
set_has,107,254
working_are,108,1744
working_with,109,1154
tell_is,110,241
is_important,111,7126
agree_be,112,340
like_would,113,785
is_still,114,505
working_is,115,481
working_closely,116,422
know_not,117,1443
know_do,118,1369
know_was,119,233
put_to,120,304
want_make,121,395
thank_for,122,1522
look_shall,123,835
agree_entirely,124,1729
are_aware,125,872
reassure_can,126,407
asked_about,127,331
expect_be,128,218
expect_would,129,286
gone_up,130,202
ensure_will,131,916
made_has,132,2118
continue_be,133,241
will>continue,134,267
gone_has,135,419
make_should,136,245
make_sure,137,613
am_keen,138,218
taken_have,139,1341
keep_will,140,224
consider_shall,141,833
is_certainly,142,786
put_in,143,740
put_has,144,380
hope_is,145,474
make_will,146,1366
make_not,147,332
made_clear,148,3578
made_have,149,4007
said_in,150,579
said_as,151,267
is_made,152,739
remember_should,153,238
consider_certainly,154,288
fallen_by,155,218
fallen_has,156,390
come_has,157,257
is_working,158,201
know_should,159,374
told_have,160,299
am_always,161,298
is_correct,162,1336
add_to,163,223
be_delighted,164,558
point_to,165,461
point_out,166,1023
is_try,167,288
received_has,168,245
find_will,169,575
are_knows,170,298
say_is,171,588
looked_at,172,508
looked_have,173,267
take_on,174,214
is_agree,175,243
is_understand,176,327
know_is,177,1534
wish_not,178,315
think_be,179,842
think_however,180,218
are_clear,181,323
set_have,182,621
said_have,183,1475
said_is,184,541
want_will,185,265
be_well,186,218
be_might,187,563
asked_has,188,297
yes_indeed,189,246
pointed_out,190,263
are_available,191,320
considering_are,192,1100
understand_is,193,584
making_are,194,798
raised_has,195,576
am_pleased,196,1754
made_been,197,964
considered_will,198,241
come_from,199,257
assure_can,200,1936
assure_is,201,344
ensure_must,202,502
thought_have,203,926
thought_would,204,308
comment_on,205,383
comment_not,206,412
comment_can,207,309
is_however,208,2605
provide_will,209,431
realise_will,210,206
made_will,211,480
made_be,212,846
is_always,213,452
engaged_in,214,225
there>will,215,1141
hear_says,216,235
give_to,217,515
be_pleased,218,657
done_has,219,594
is_provide,220,273
want_see,221,613
announced_in,222,317
agree_certainly,223,557
have_now,224,589
knows_well,225,578
taken_has,226,550
taken_been,227,382
hope_support,228,223
put_on,229,371
put_have,230,724
look_into,231,839
look_certainly,232,528
relates_to,233,205
is_making,234,262
based_on,235,463
based_is,236,216
is_say,237,2230
done_be,238,366
given_is,239,254
want_do,240,1011
want_not,241,1011
knows_is,242,488
taken_are,243,221
is_also,244,1045
give_certainly,245,306
met_have,246,403
see_will,247,811
no>doubt,248,216
determined_are,249,671
are_determined,250,356
hope_make,251,364
think_agree,252,293
is_want,253,722
will>be,254,560
made_being,255,303
made_are,256,353
am_certain,257,275
read_have,258,285
is_likely,259,280
is_well,260,247
let_be,261,333
going_is,262,628
hope_be,263,1573
are_anxious,264,323
be_however,265,660
looking_are,266,1488
looking_at,267,1459
give_not,268,703
is_raise,269,560
is_done,270,330
is_wrong,271,924
point_should,272,254
go_will,273,501
welcomed_been,274,223
accept_is,275,542
pay_to,276,232
given_has,277,366
seeing_are,278,277
is_put,279,448
continue_do,280,628
is_obviously,281,573
ensure_shall,282,416
ensure_is,283,293
need_will,284,290
be_aware,285,3158
is_taken,286,388
surprised_am,287,440
is_good,288,574
know_been,289,425
is_open,290,245
discussed_with,291,348
help_will,292,669
like_should,293,729
apply_to,294,211
made_already,295,341
agree_are,296,324
look_to,297,594
continuing_are,298,331
appreciate_will,299,395
recognise_is,300,381
is_therefore,301,496
is_says,302,463
hope_have,303,388
made_was,304,409
be_shall,305,958
be_course,306,249
refers_to,307,301
examining_are,308,264
increased_has,309,657
put_will,310,230
welcome_to,311,340
say_to,312,978
have_wait,313,281
confirm_can,314,1243
mean_not,315,284
mean_does,316,278
be_wrong,317,409
is_much,318,400
said_has,319,548
said_be,320,406
wish_do,321,260
is_set,322,329
given_been,323,220
given_to,324,363
is_knows,325,753
be_better,326,238
say_may,327,246
am_conscious,328,203
raised_with,329,202
making_is,330,260
want_ensure,331,563
done_have,332,861
shown_has,333,203
be_interested,334,561
putting_are,335,366
receive_will,336,257
consider_will,337,666
need_be,338,220
discussing_are,339,218
see_is,340,250
make_shall,341,445
is_ensure,342,1337
take_not,343,320
is_decide,344,408
refer_to,345,420
is_need,346,734
am_sorry,347,1116
asked_for,348,208
set_out,349,918
is_now,350,1222
taking_is,351,335
